PlasmoDB geneID,Early troph._mRNArpkM,Late troph._mRNArpkM
pfi0320w,576.6941797,137.5004145
pfb0106c,NULL,NULL
pfc0065c,165.3856452,35.4094178
pf08_0001,170.4417427,NULL
pf13_0075,NULL,NULL
pfl0895c,46.68828042,29.13690761
pf11_0504,NULL,NULL
pf07_0026,164.4196332,158.3456934
pfi0120c,NULL,NULL
pf11_0244,68.4397553,59.59729701
pf08_0124,176.0877473,174.6402944
pf13_0346,1591.514719,1160.348927
pf14_0107,40.3221492,44.0488258
pf14_0111,30.48083715,28.58887791
pf10_0078,83.9041795,75.14425342
pfe1110w,NULL,NULL
pfl2390c,39.93650724,35.98310645
pfl2530w,NULL,NULL
pfd0085c,NULL,NULL
pfa0420w,110.4163493,NULL
pf14_0045,367.4352613,60.00518761
pfi0695c,72.70574633,31.86252403
pfb0970c,NULL,NULL
pfb0675w,78.71920032,23.60520475
pf14_0016,2356.91942,378.4260685
pfe0055c,237.3128957,58.02113572
pfd1165w,104.9406676,NULL
pf14_0469-a,38.38535866,38.03461068
pfi1725w,66.41009489,NULL
pf14_0469-b,37.57579697,37.27821797
pf14_0291,30.45588437,16.3764449
pfb0640c,77.99165763,88.48414358
pfi0580c,169.8264525,134.1008632
pfe0860c,NULL,NULL
pff1315w,118.270135,91.30346408
pfl1125w,171.194542,137.9992252
pf11_0067,529.8678848,158.6029592
pf14_0574,83.27926283,39.33754402
pf14_0541,578.6044519,203.1748265
pfc0875w,88.58786235,26.41133537
pff1145c,67.33225089,15.58888993
pf11_0152,108.8964732,64.31655266
pff1230c,174.7687277,28.13289623
pf08_0047,132.0352341,86.37119512
mal7p1.170,851.9303626,45.46649368
pf11_0242,22.35012595,21.27805691
pf10_0023,71.9868826,52.95237874
pf14_0423,9.519264326,21.14138737
pf07_0006,NULL,NULL
pf11_0433,15.43338027,33.62898388
pf14_0407,27.6867202,45.67949427
pf14_0250,45.79368351,NULL
pf14_0621,147.2625077,NULL
pf11_0175,1293.522285,217.284607
pfc0240c,90.53730769,68.74448291
mal8p1.4,43.8776434,NULL
pfl0785c,116.5372816,156.253776
pf11_0347,34.64800485,NULL
pfb0925w,NULL,NULL
pfe1250w,281.098773,328.8676978
pfd0945c,22.85876887,28.00646822
pfd0965w,15.70184137,24.49018931
pf10_0046,107.1915831,128.8191895
pf14_0390,358.8753137,518.0144777
pfl0530c,49.7264946,82.42497917
pf10_0205,11.60186125,17.5532457
pf14_0565,26.71577964,33.88592378
pff0145w,23.22157781,34.02935056
pfe1200w,16.55236275,27.35259484
mal7p1.34,NULL,NULL
pfd0144c,NULL,NULL
mal13p1.330,86.90713335,60.64884065
pf14_0518,169.6997205,138.2575882
mal7p1.64,96.69120211,74.0368471
pf14_0691,82.28244274,69.64557929
mal13p1.166,29.57701427,23.04380427
pfl2565w,132.1052429,NULL
pf13_0343,26.70713668,24.23671709
pfl0520c,21.58288504,17.72902711
pfi1600w,76.35285764,62.24779678
mal8p1.71,53.10846491,52.94709707
pf14_0350,90.58135547,78.89201023
pf10_0028-a,187.1178483,208.1731656
pf10_0028-b,186.2562649,207.2397475
pfi0170w,28.40949537,29.37947204
pf13_0194,NULL,100.182469
pfl1055c,202.7273612,26.94067777
mal13p1.70,41.44802529,29.83976733
pf10_0162,84.18062335,14.74939952
pff0220w,63.778978,55.5627917
pf14_0170,38.67807535,29.96380342
pf11_0086,101.0124186,66.06030535
mal7p1.172,328.7010887,68.31395437
pfi1755c,234.1311825,NULL
pfa0670c,111.489322,NULL
pf13_0162,106.6163046,101.9788362
mal13p1.225,187.608375,NULL
pfe1365w,140.9846859,67.80461593
pf13_0270,160.8225728,66.00399191
pf08_0044,47.54049627,60.05687648
